gene_id	OTA	MCPD	TCP	Ctrl
ENSRNOG00000034234	37933.9130078527	42447.5919522738	65012.2004057036	43848.703101627
ENSRNOG00000031979	31928.0558937434	34429.9123693437	47033.9698470549	37137.9367761175
ENSRNOG00000030700	29948.3939542508	30382.3883413154	28073.388614857	37681.8569592554
ENSRNOG00000030371	22726.9156598908	21291.9280019073	43311.7726285981	27758.61848311
ENSRNOG00000031766	15844.6124424019	19013.4738573952	15890.6708416119	21223.1889351426
ENSRNOG00000030644	11373.2911598199	10682.4130200214	15747.5078145436	13695.0166528794
ENSRNOG00000031033	10035.2169739231	9854.92408074956	18143.788282902	12121.3234738341
ENSRNOG00000033615	6929.14157745094	6665.57308642674	10155.1507223539	8072.35103153112
ENSRNOG00000005858	3024.76600379551	9306.6472480415	6815.09214990416	12010.9702566097
ENSRNOG00000031053	3655.0536840978	5118.92790469738	7750.14286361161	5850.76113638564
ENSRNOG00000052564	3263.03551864592	8240.10155103419	4499.13811322015	5508.22974828134
ENSRNOG00000020843	4146.61012911021	6761.67646352639	2839.25769962229	4570.63525472703
ENSRNOG00000029042	2649.65151447327	2546.15549512672	5599.84449242478	3646.70946787214
ENSRNOG00000016469	3737.21309193798	4024.97944874382	850.904040087719	4688.62934752401
ENSRNOG00000029971	2226.87318516893	2669.56556145031	4920.84266869572	3294.96953013341
ENSRNOG00000030154	1253.99659741622	4183.8581661803	2885.80860645517	4730.2526845936
ENSRNOG00000006302	925.856728029715	3410.18539380621	3954.62913232547	4071.06401473528
ENSRNOG00000001159	1163.60499730986	4873.74294766274	483.816191619789	5759.18139412549
ENSRNOG00000009439	2079.12564082332	2385.23322927282	3637.93367354283	2824.00728379166
ENSRNOG00000006807	2374.57100965465	2927.70785772751	2051.64162099362	3118.88522394204
ENSRNOG00000015557	4475.56951919765	1685.42031852048	1475.86310093185	2225.95715809312
ENSRNOG00000019470	1223.62848494098	2150.6915243166	3683.12520716569	2378.77193025646
ENSRNOG00000024903	547.933758794816	2045.28922581734	3822.66977336955	2771.71053019303
ENSRNOG00000002840	2711.0169352584	2298.1263393735	1904.76886965022	2216.37219622117
ENSRNOG00000007006	985.598118687791	2309.17439858046	1746.52717745117	2897.80722525114
ENSRNOG00000029145	1293.59919515407	613.248304478638	4829.29655182859	972.009941069662
ENSRNOG00000029886	1977.57437960287	1866.59515627949	1011.4815469963	2637.81320595523
ENSRNOG00000058105	1581.73521422996	1568.34640454476	2516.01308546756	1640.42456937666
ENSRNOG00000017899	819.058861530781	2295.88561592841	2445.88199343071	1678.65554329743
ENSRNOG00000011861	748.960249969103	1385.12543859979	3289.16561645429	1770.34586141439
ENSRNOG00000057558	1128.60044212251	1721.57726483959	822.036447727336	3176.07404120944
ENSRNOG00000053086	1019.44513375113	1579.17088656739	2326.52171789835	1601.09167398338
ENSRNOG00000042233	1861.69841706476	1601.93315810095	1152.99012610367	1607.217340482
ENSRNOG00000050243	584.502346055603	1539.02165808842	2005.07845828623	1929.54362148211
ENSRNOG00000013409	409.47739114039	1528.47118903612	2322.736501371	1606.91876096947
ENSRNOG00000018630	1946.26294887487	1372.70421684341	1166.2637984467	1263.44662571031
ENSRNOG00000021177	1718.09364602594	1442.13609505737	811.81993355864	1530.38967777938
ENSRNOG00000047697	805.205093426585	1284.44424746381	1798.75291976717	1587.57491012717
ENSRNOG00000005437	958.782554176393	1785.20022859662	608.535435099638	1850.77065591104
ENSRNOG00000001049	1135.3574537331	1099.48080114946	1446.82252062875	1470.53494597424
ENSRNOG00000009741	529.203134427021	1519.42359779211	1170.90231897643	1856.50222584996
ENSRNOG00000001148	1203.92698432875	889.49452420516	1908.70462759548	1047.66435485962
ENSRNOG00000017032	1351.23349560131	1205.50905570308	1214.94091793216	1250.13922148598
ENSRNOG00000004196	1050.04345078115	1078.80467242948	916.413590908644	1632.61248181537
ENSRNOG00000055579	1029.49954108842	1023.41881904609	1391.33510617889	1096.90692395421
ENSRNOG00000054962	855.8536260303	1375.22268653144	908.632219728478	1370.91150944743
ENSRNOG00000028505	1345.92113536471	874.255389858493	1254.76734934983	878.980794140846
ENSRNOG00000013874	1165.33489417648	851.95355848	1312.2667220086	1006.44462504189
ENSRNOG00000029707	787.326419519761	1305.52035972308	916.025925750935	1199.99796633092
ENSRNOG00000018645	927.353508465801	766.68031007115	1223.84311746137	911.728667157279
ENSRNOG00000001170	1273.05774284218	979.800588605529	501.796611738812	964.04264647073
ENSRNOG00000049560	512.138737796265	1032.46903154027	1020.85367172202	1143.08257312398
