"","Ctrl","OTA","MCPD","TCP"
"ENSRNOG00000011861",11.3300338786502,10.3320355853048,11.0806553372745,12.2179661541035
"ENSRNOG00000057558",12.1724844722639,10.9224514524114,11.3939693546974,10.2203101695119
"ENSRNOG00000053086",11.1852406644664,10.7759454311036,11.2695543381821,11.7188043168722
"ENSRNOG00000042233",11.1907425248692,11.6436358595578,11.2901754638272,10.7073484857836
"ENSRNOG00000050243",11.4541201523252,9.97532305016742,11.2324474417689,11.5044992858814
"ENSRNOG00000013409",11.1904748370165,9.46378008221444,11.2225359898351,11.7164573061217
"ENSRNOG00000018630",10.8440583889495,11.7076628806327,11.0676780281286,10.7238322864721
"ENSRNOG00000021177",11.1201717889319,11.5279410095958,11.1387650621338,10.2023143598623
"ENSRNOG00000047697",11.1730256336034,10.4362623644085,10.971943487802,11.3480127186966
"ENSRNOG00000005437",11.3940539046815,10.6875968955249,11.4462655814288,9.78775288972812
"ENSRNOG00000001049",11.0626949099926,10.9310496163952,10.7479930578229,11.0343174614601
"ENSRNOG00000009741",11.3985097314683,9.83239617395557,11.2139818163398,10.7295484729992
"ENSRNOG00000001148",10.5743671337886,11.015521542765,10.4428369751516,11.4335115355328
"ENSRNOG00000017032",10.828808123128,11.1818170585392,10.8805862868575,10.7827192175173
"ENSRNOG00000004196",11.2133303677513,10.8185366155518,10.7206537478275,10.3767237238111
"ENSRNOG00000055579",10.6405010710624,10.7900797819774,10.6447589736323,10.9779837743968
"ENSRNOG00000054962",10.9616399664124,10.5240806989849,11.0703186990673,10.3644499003945
"ENSRNOG00000028505",10.3216522084792,11.1761414749495,10.4179615783691,10.8291730412398
"ENSRNOG00000013874",10.516577470061,10.9685892106023,10.3807664429115,10.8937073053577
"ENSRNOG00000029707",10.7698532018378,10.4039406433913,10.9953885258413,10.3761147114806
"ENSRNOG00000018645",10.3743006169464,10.6396037766697,10.228986727739,10.7932333793206
"ENSRNOG00000001170",10.4546117089479,11.0959551556265,10.5820456901736,9.51058129225364
"ENSRNOG00000049560",10.6998773382779,9.78527134213224,10.6574365319362,10.5320877270499
"ENSRNOG00000016807",10.7628349322628,9.062787104019,10.7399503756658,10.6230701766547
"ENSRNOG00000017817",10.3158047614418,11.0493053837683,10.4173196975808,9.89239880255932
"ENSRNOG00000011189",10.8187055455813,10.0077326312936,10.9470453630617,9.58400169667112
"ENSRNOG00000034254",10.1395945059424,10.4743582224013,10.3460465737751,10.7446119683352
"ENSRNOG00000016727",10.0784187946764,10.8006343800727,10.5985956796958,10.2080736942782
"ENSRNOG00000018237",10.0226766920912,8.33463627756517,10.8677954484103,11.0015069173657
